KM,NOM,ID,LAT,LONG
638,La Vang,125,107.201918,16.726526
na,Truong Phuoc,324,107.235851,16.694624
647,Truong Sanh,126,107.27105,16.66618
652,My Chanh,127,107.305,16.628056
660,Pho Trach H V,128,107.361667,16.584444
670,Hien Sy,129,107.431944,16.529167
672,Song Bo,365,107.4456,16.521581
678,Van Xa,130,107.503056,16.508333
685,An Hoa,131,107.559472,16.474988
687,Kim Long,355,107.569987,16.461055
689,Hue,132,107.578028,16.4565
691,An Cuu,366,107.605705,16.450032
694,Thanh Thuy,133,107.636296,16.430945
699,Huong Thuy,134,107.664444,16.418056
709,Nong,135,107.744671,16.336476
716,Truoi,136,107.774722,16.318889
724,Da Bac,137,107.84422,16.28626
730,Cau Hai,138,107.886389,16.269722
737,Nuoc Ngot,139,107.926965,16.272645
743,Thua Luu,140,107.994722,16.270833
751,Hoi Mit,141,108.042821,16.22482
756,Lang Co,142,108.081111,16.222222
762,Bai Ca,143,108.115833,16.211111
777,Lien Chieu,144,108.1305,16.11001
780,Nam O,145,108.144145,16.091017
788,Hoa My,146,108.19936,16.07076
792,Tourane Central,147,108.206513,16.072426
796,Tourane Marche,148,108.225144,16.069668
na,Hoa Vang,149,108.19277,16.02353
na,Lien Tri,150,108.19046,16.0019
na,Phong Le,151,108.19145,15.99586
na,Duong Song,152,108.182778,15.970556
na,Dong Quang,153,108.17904,15.95885
na,Chu Lan,154,108.18387,15.94304
na,Nong Song,155,108.186667,15.886667
na,Ky Lam,156,108.19024,15.860018
na,Xuan Dai,157,108.196802,15.841322
na,Chiem Son,158,108.21614,15.82794
na,Tra Kieu Tay,159,108.231111,15.809444
na,Phu Trach,160,108.26573,15.79071
na,Phuoc Chi,161,108.29999,15.75068
na,Phu Cang,162,108.341389,15.704444
na,Binh An Tay,163,108.36621,15.67672
na,Phu Xuan Phuong,164,108.38054,15.66041
na,Tay My,165,108.40343,15.62978
na,An My Dong,166,108.4275,15.596389
na,Thinh My,167,108.45269,15.57591
na,Tam Ky,168,108.482778,15.5575
na,Khuong My,169,108.50458,15.54412
na,Tra Ly,170,108.55712,15.51892
na,Giem Pho,171,108.586944,15.476111
na,Nam Van,172,108.65398,15.43227
na,An Tan,173,108.669722,15.421111
na,Tri Binh,174,108.729444,15.348333
na,Phuoc Thuan,175,108.743261,15.304445
na,Phu Hau,176,108.76352,15.22571
na,Dai Loc,177,108.765833,15.195
na,Tho Loc,178,108.77423,15.1473
na,Quang Ngai,179,108.781139,15.120778
na,Nghia An,180,108.78741,15.09887
na,Phu Nhieu,181,108.80454,15.06625
na,Hoa Vinh Tay,182,108.834167,15.022778
