"ID","Quantite","KM","NOM","LAT","LONG"
56,16628.105,"171","Ham Rong",105.787825,19.839216
57,19579.27,"175","Thanh Hoa",105.766944,19.811667
58,3535.66,"188","Yen Thai",105.707222,19.718333
59,1650.23,"197","Minh Khoi",105.701944,19.632778
60,595.57,"208","Thi Long",105.71,19.541667
61,381.51,"219","Van Trai",105.763333,19.457778
62,528.85,"229","Khoa Truong",105.731944,19.375556
63,2475.15,"246","Hoang Mai",105.696667,19.268333
64,6647.67,"262","Cau Giat",105.625556,19.158889
65,2787.03,"272","Yen Ly",105.585833,19.076667
67,4146.92,"279","Cho Si",105.575833,19.0075
68,4075.81,"284","Phu Dien",105.580794,18.963816
70,1215.33,"301","Do Cam",105.6491,18.859793
71,6726.35,"309","Quan Hanh Xa Doai",105.6475,18.784444
74,30894.32,"321","Vinh",105.664444,18.688333
76,21351.8,"326","Ben Thuy",105.658766,18.649522
78,3676.39,"332","Yen Xuan",105.62,18.603889
79,5806.72,"338","Cho Thuong",105.596404,18.559116
82,1064.16,"353","Yen Due",105.566389,18.426944
83,127.25,"360","Hoa Duyet",105.601944,18.383889
85,1150.95,"372","Thanh Luyen",105.636389,18.296389
87,294.44,"382","Chu Le",105.698333,18.223056
88,4463.81,"386","Gia Pho",105.707778,18.169722
89,464.71,"391","Loc Yen",105.746589,18.133012
90,12832.38,"398","Phuc Trach",105.769722,18.110833
91,21445.71,"405","La Khe",105.826111,18.0625
92,28690.72,"411","Tan Ap",105.854167,18.033611
93,431.42,"na","Thanh Lang",105.79042,17.84671
94,3017.6,"430","Xom Cuc",105.77636,17.68945
96,1645.32,"470","Ba Na Phao",105.59396,17.54702
97,5411.03,"428","Kim Lu",105.961732,17.950333
98,138.44,"438","Dong Le",106.021944,17.887778
99,305.28,"451","Ngoc Lam",106.121111,17.828611
100,1839.22,"459","Lac Son",106.188889,17.811389
101,0,"473","Lac Giao",106.296792,17.756704
102,16408.38,"482","Minh Le",106.370278,17.712222
103,79.41,"489","Ngan Son",106.394167,17.67
106,385.68,"507","Bo Trach",106.522222,17.575556
107,312.95,"511","Phuc Tu",106.542778,17.551667
108,3204.11,"523","Thuan Ly D H",106.5998784,17.4658839
111,490.81,"540","Xuan Duc",106.6275,17.318333
113,224.51,"552","My Duc",106.695833,17.238333
115,1795.01,"565","My Trach",106.805556,17.186667
117,234.3,"588","Sa Lung",106.966111,17.058611
119,3149.86,"599","Tien An",107.03,16.977778
121,74.65,"610","Ha Thanh",107.077222,16.908056
122,3376.34,"621","Dong Ha",107.111667,16.811111
124,3974.62,"634","Quang Tri",107.186944,16.737778
127,414.96,"652","My Chanh",107.305,16.628056
128,0,"660","Pho Trach H V",107.361667,16.584444
129,124.88,"670","Hien Sy",107.431944,16.529167
130,118.1,"678","Van Xa",107.503056,16.508333
131,111.79,"685","An Hoa",107.559472,16.474988
132,17692.61,"689","Hue",107.578028,16.4565
134,24.3,"699","Huong Thuy",107.664444,16.418056
135,3.9,"709","Nong",107.744671,16.336476
136,44,"716","Truoi",107.774722,16.318889
138,201.68,"730","Cau Hai",107.886389,16.269722
139,144.71,"737","Nuoc Ngot",107.926965,16.272645
140,202.87,"743","Thua Luu",107.994722,16.270833
141,1.13,"751","Hoi Mit",108.042821,16.22482
142,809.93,"756","Lang Co",108.081111,16.222222
144,8434.29,"777","Lien Chieu",108.1305,16.11001
145,8440.02,"780","Nam O",108.144145,16.091017
146,4.55,"788","Hoa My",108.19936,16.07076
147,13235.82,"792","Tourane Central",108.206513,16.072426
148,39838.08,"796","Tourane Marche",108.225144,16.069668
149,0,"na","Hoa Vang",108.19277,16.02353
150,2.36,"na","Lien Tri",108.19046,16.0019
151,14.3,"na","Phong Le",108.19145,15.99586
152,0.6,"na","Duong Song",108.182778,15.970556
153,24.57,"na","Dong Quang",108.17904,15.95885
155,0,"na","Nong Song",108.186667,15.886667
156,270.16,"na","Ky Lam",108.19024,15.860018
157,0,"na","Xuan Dai",108.196802,15.841322
158,146.94,"na","Chiem Son",108.21614,15.82794
159,416.54,"na","Tra Kieu Tay",108.231111,15.809444
161,352.96,"na","Phuoc Chi",108.29999,15.75068
162,134.88,"na","Phu Cang",108.341389,15.704444
164,119.81,"na","Phu Xuan Phuong",108.38054,15.66041
166,0,"na","An My Dong",108.4275,15.596389
168,1277.33,"na","Tam Ky",108.482778,15.5575
169,0.12,"na","Khuong My",108.50458,15.54412
170,0.31,"na","Tra Ly",108.55712,15.51892
171,85.89,"na","Giem Pho",108.586944,15.476111
173,0.22,"na","An Tan",108.669722,15.421111
174,40.85,"na","Tri Binh",108.729444,15.348333
175,1336.94,"na","Phuoc Thuan",108.743261,15.304445
177,11.71,"na","Dai Loc",108.765833,15.195
178,9247.316,"na","Tho Loc",108.77423,15.1473
179,6649.46,"na","Quang Ngai",108.781139,15.120778
181,192.84,"na","Phu Nhieu",108.80454,15.06625
182,311.22,"na","Hoa Vinh Tay",108.834167,15.022778
183,205.7,"na","Lam Dien",108.85527,14.9941
184,11.96,"na","Van Tay",108.86285,14.95786
186,217.63,"na","Mo Duc",108.907,14.88407
187,302.64,"na","Duc Pho",108.946389,14.809722
188,1400.38,"na","Thuy Thach",109.006667,14.7525
189,27.2,"na","Dien Thuong",109.035647,14.715143
190,2225.97,"na","Sa Huynh",109.064722,14.661667
191,382.54,"na","Chong Hoa",109.048578,14.586741
192,6361.3,"na","Tam Quan",109.043611,14.547778
193,204.87,"na","Tai Luong",109.03591,14.4967
194,36.97,"na","Hoi Duc",109.03295,14.48286
195,995.115,"na","Bong Son",109.019444,14.438333
196,96.09,"na","Binh Chuong",109.0313,14.3804
197,287.44,"na","Van Phu",109.064167,14.313889
198,1130.01,"na","Vinh Phuoc",109.07611,14.27399
199,45.07,"na","Trung Hoi",109.04415,14.22029
200,1891.98,"na","Phu My",109.04119,14.18702
201,6.34,"na","Binh Tan",109.03888,14.15374
203,658.21,"na","Khanh Phuoc",109.037222,14.0875
204,33.25,"na","My Hoa",109.04646,14.05161
205,162.73,"na","Phu Cat",109.056667,13.994722
208,957.88,"na","Van Son",109.07446,13.91423
210,5338.28,"na","Binh Dinh",109.100833,13.887222
212,294.32,"na","Van My",109.13063,13.85971
214,14524.21,"na","Dieu Tri",109.143611,13.807222
215,85.31,"na","Tuy Phuoc",109.19257,13.79102
216,12693.1,"na","Qui Nhon",109.223333,13.778333
218,11.51,"na","Canh Van",109.10691,13.7673
219,807.23,"na","Tan Vinh",109.049444,13.7075
221,431.7,"na","Van Canh",108.996944,13.620556
222,776.96,"na","Muc Thinh",109.02035,13.55242
223,212.38,"na","Phuoc Lanh",109.030833,13.486111
225,2698.61,"na","La Hai",109.105833,13.381667
226,943.63,"na","Ha Bang",109.14521,13.35343
227,769.59,"na","Phong Nien",109.17717,13.32147
228,1374.32,"na","Chi Thanh",109.219444,13.304722
230,2443.49,"na","My Phu",109.25887,13.25394
231,1154.42,"na","Hoa Da",109.270278,13.205278
233,12432.58,"na","Tuy Hoa",109.297278,13.088111
234,139.09,"na","Dong Tac",109.321944,13.055833
235,0,"na","Phu Hiep",109.361111,13.000278
236,53.5,"na","Thach Tuan",109.361,12.97456
237,74.63,"na","Hao Son",109.376667,12.908333
238,7075.68,"na","Dai Lanh",109.360556,12.833889
239,513.7,"na","Tu Bong",109.300833,12.777778
240,1912,"na","Gia",109.223611,12.7
241,178.96,"na","Hoa Huynh",109.168056,12.574444
242,2833.51,"na","Ninh Hoa",109.122778,12.488889
243,30.14,"na","Phong Tanh",109.125833,12.433333
244,120.7,"na","Quang Duoi",109.18507,12.39276
245,284.85,"na","Luong Son",109.194444,12.337778
246,19148.12,"na","Nha Trang",109.184444,12.247778
247,4149.86,"na","Phu Vinh",109.154598,12.256366
248,9949.21,"na","Cay Cay",109.080278,12.216944
249,1269.54,"na","Suoi Dau",109.07182,12.18817
250,321.65,"na","Hoa Tan",109.098611,12.121389
252,9234.41,"na","Ba Ngoi",109.148668,11.917281
254,1301.54,"na","Nga Ba",109.121111,11.925833
255,2431.19,"na","Krong Pha",108.71347,11.81696
256,196.19,"na","Trai Ca",109.0976,11.88434
257,2107.6,"na","Hiep My",109.1032,11.83294
259,0,"na","Tan My",108.79476,11.72974
262,1878.01,"na","Balap",108.99638,11.66748
264,22872.65,"na","Tourcham",108.95,11.597222
266,865.67,"na","Belle Vue",108.63407,11.84357
267,1012.859,"na","Dran",108.58959,11.84027
268,576.72,"na","Arbre Broye",108.56225,11.86202
269,2106.37,"na","Entrerays",108.5527,11.88672
270,129.69,"na","Le Bosquet",108.53095,11.94174
271,9530.98,"na","Da Lat",108.455556,11.942222
272,1968.99,"na","Hoa Trinh",108.911389,11.499167
273,1598.7,"na","Cana",108.876389,11.351944
274,2060.75,"na","Vinh Hao",108.741944,11.309444
