"ID","Quantite","KM","NOM","LAT","LONG"
130,0,"678","Van Xa",107.503056,16.508333
131,0,"685","An Hoa",107.559472,16.474988
132,881.203,"689","Hue",107.578028,16.4565
133,0,"694","Thanh Thuy",107.636296,16.430945
134,0,"699","Huong Thuy",107.664444,16.418056
135,6.73,"709","Nong",107.744671,16.336476
136,4,"716","Truoi",107.774722,16.318889
137,0,"724","Da Bac",107.84422,16.28626
138,89.05,"730","Cau Hai",107.886389,16.269722
139,211.545,"737","Nuoc Ngot",107.926965,16.272645
140,201.3,"743","Thua Luu",107.994722,16.270833
141,304.491,"751","Hoi Mit",108.042821,16.22482
142,418.45,"756","Lang Co",108.081111,16.222222
143,0,"762","Bai Ca",108.115833,16.211111
144,12.52,"777","Lien Chieu",108.1305,16.11001
145,1655.483,"780","Nam O",108.144145,16.091017
146,0,"788","Hoa My",108.19936,16.07076
147,182.592,"792","Tourane Central",108.206513,16.072426
148,2975.938,"796","Tourane Marche",108.225144,16.069668
246,2365.67,"na","Nha Trang",109.184444,12.247778
248,10,"na","Cay Cay",109.080278,12.216944
249,0,"na","Suoi Dau",109.07182,12.18817
250,347.65,"na","Hoa Tan",109.098611,12.121389
251,407.36,"na","Suoi Cat",109.12585,12.04074
252,39.98,"na","Ba Ngoi",109.148668,11.917281
253,0,"na","Suoi Mon",109.10971,11.97551
254,0.98,"na","Nga Ba",109.121111,11.925833
255,581.93,"na","Krong Pha",108.71347,11.81696
256,109.65,"na","Trai Ca",109.0976,11.88434
257,1394.33,"na","Hiep My",109.1032,11.83294
258,0,"na","Ka Rom",109.08336,11.77949
259,0,"na","Tan My",108.79476,11.72974
260,0,"na","Barau",109.05066,11.72011
261,0,"na","Dong Me",108.88634,11.69548
262,0,"na","Balap",108.99638,11.66748
263,0,"na","Luong Phan",108.91665,11.6454
264,301.98,"na","Tourcham",108.95,11.597222
265,0,"na","Phu Qui",108.68217,11.82742
266,475.17,"na","Belle Vue",108.63407,11.84357
267,61.65,"na","Dran",108.58959,11.84027
268,606.06,"na","Arbre Broye",108.56225,11.86202
272,0,"na","Hoa Trinh",108.911389,11.499167
273,14.94,"na","Cana",108.876389,11.351944
274,0,"na","Vinh Hao",108.741944,11.309444
275,20.77,"na","Song Long Song",108.673889,11.263611
276,0,"na","Nha Me",108.61331,11.24298
277,381.4,"na","Song Mao",108.506667,11.248889
278,306.49,"na","Chau Hanh",108.425,11.227778
279,163.46,"na","Song Luy",108.3225,11.214722
280,401.98,"na","Long Thanh",108.204722,11.128889
281,54.69,"na","Ma Lam",108.131667,11.0725
282,32.1,"na","Muong Man",108.003056,10.968611
283,211.12,"na","Phu Hoi",108.07121,10.95126
284,636.49,"na","Phan Thiet",108.1062684,10.9235598
285,78.58,"na","Suoi Van",107.867222,10.920556
286,527.09,"na","Song Phan",107.751667,10.874444
287,145.76,"na","Song Dinh",107.672778,10.921389
288,723.56,"na","Suoi Kiet",107.630278,10.968333
289,13700.56,"na","Gia Huynh",107.541389,10.985278
290,1480.719,"na","Tran Tao",107.488056,10.9675
291,4638.31,"na","Gia Ray",107.403056,10.964167
292,2703.51,"na","Bao Chanh",107.325833,10.9525
293,4559.63,"na","Xuan Loc",107.245833,10.933333
294,2298.05,"na","An Loc",107.18219,10.92655
295,2738.42,"na","Dau Giay",107.137778,10.930833
296,941.84,"na","Bau Ca",107.07561,10.93561
297,35579.08,"na","Trang Bom",106.993889,10.944722
298,2555.53,"na","Long Lac",106.94153,10.95686
299,6972.8,"na","Ho Nai",106.906111,10.959389
300,28016.33,"na","Bien Hoa",106.826389,10.950556
301,0,"na","Cho Don",106.819508,10.928708
302,1982.03,"na","Dian",106.769167,10.907778
303,4422.54,"na","Thu Duc",106.753333,10.883056
304,2759.6,"na","Binh Trieu",106.7117,10.8531
305,11194.02,"na","Go Vap",106.67941,10.84058
306,54122.11,"0","Saïgon",106.667408,10.785243
307,692.46,"5","Cho Lon",106.62312,10.75971
308,0,"8","Phu Lam",106.61653,10.72765
309,0,"12","An Lac",106.60994,10.69668
310,0,"16","Binh Dien",106.59171,10.67208
311,0,"21","Binh Chanh",106.55195,10.64836
312,0,"26","Go Den",106.50825,10.6398
313,0,"31","Ben Luc",106.46784,10.63452
314,10.11,"38","Binh Anh",106.42962,10.58621
315,29.19,"46","Tan An",106.39777,10.5313
316,0,"54","Tan Huong",106.36219,10.46497
317,31.76,"58","Tan Hiep",106.34155,10.43005
318,35.72,"61","Luong Phu",106.34319,10.39447
319,0,"66","Truong Luong",106.34429,10.38151
320,385.16,"70","My Tho",106.37702,10.3624
321,0,"468","Le Son ",106.258056,17.778333
322,0,"na","Phu Nuan",106.673892,10.801047
323,0,"na","Kabeu",108.65351,11.82676
325,0,"na","Phuoc Trach",109.14735,12.253401
326,0,"na","Hoa Hung",106.673233,10.795529
327,0,"na","Hanh Thong Xa",106.674962,10.810766
328,0,"na","Binh Chanh",106.738546,10.862489
329,0,"na","Ap dian",106.759878,10.896752
330,0,"na","Hoa Han",106.802129,10.925826
331,0,"na","Nhi Hoa",106.826426,10.934144
332,0,"0","0",0,0
334,0,"14","Tan Kien",106.60664,10.68131
335,0,"28","Long Hiep",106.49199,10.64287
336,0,"35","Binh Nhut",106.4428,10.60971
337,0,"48","Loi Binh Nhon",106.38855,10.51373
338,0,"51","Khanh Hau",106.37581,10.4911
339,0,"56","Hoa Tinh",106.35121,10.44828
340,0,"57","Tan Ly Tay",106.34682,10.44015
341,0,"64","Long Hoi",106.34341,10.38865
442,0,"0","0",0,0
443,0,"0","0",0,0
360,0,"149","Ky Lua (Pont)",106.764259,21.865127
16,0,"86","Sans Nom",106.399107,21.49941
342,0,"62","Voi",106.258968,21.353012
25,0,"30","Cho Nhon",106.0653652,21.1832531
29,0,"15","Chua Dan",105.939856,21.108252
356,0,"5","Hanoi Grand Marche",105.865112,21.046233
361,0,"4","Nga Tu Vong",105.840568,20.973219
362,0,"15","Quang Ganh",105.848722,20.903706
357,0,"24","Pho Tia Vu Lang",105.883355,20.81912
362,0,"34","Cho Phu Xuyen",105.913056,20.7375
343,0,"36","Cau Gie",105.923383,20.620215
344,0,"59","Bang Khe",105.933349,20.52484
345,0,"63","Dong Xa",105.96127,20.509479
346,0,"71","Dong Quang",106.034922,20.478758
347,0,"79","Le Xa",106.085863,20.443837
348,0,"97","Pho So",106.117027,20.352538
349,0,"105","Ninh Xa",106.04735,20.31482
350,0,"123","Mai Thon",105.95197,20.17925
351,0,"146","Cau Cu",105.84556,20.0478
352,0,"183","Doi Trung",105.73058,19.76361
363,0,"335","Cho Do",105.600934,18.583248
364,0,"340","Phu Duc",105.590199,18.540667
93,0,"na","Thanh Lang",105.79042,17.84671
94,0,"430","Xom Cuc",105.77636,17.68945
95,0,"na","Xom Mon",105.7421,17.59764
96,0,"470","Ba Na Phao",105.59396,17.54702
358,0,"423","Khenet",105.926097,17.980079
353,0,"434","Phu Ninh",105.999876,17.915183
354,0,"444","Kieu Moc",106.065903,17.855923
