"ID","Quantite","KM","NOM","LAT","LONG"
155,0,"na","Nong Song",108.186667,15.886667
156,206.64,"na","Ky Lam",108.19024,15.860018
157,0,"na","Xuan Dai",108.196802,15.841322
158,71.58,"na","Chiem Son",108.21614,15.82794
159,391.13,"na","Tra Kieu Tay",108.231111,15.809444
161,54.49,"na","Phuoc Chi",108.29999,15.75068
162,126.4,"na","Phu Cang",108.341389,15.704444
164,106.61,"na","Phu Xuan Phuong",108.38054,15.66041
166,0,"na","An My Dong",108.4275,15.596389
168,524.6,"na","Tam Ky",108.482778,15.5575
169,0.12,"na","Khuong My",108.50458,15.54412
170,0.31,"na","Tra Ly",108.55712,15.51892
171,74.23,"na","Giem Pho",108.586944,15.476111
173,0.22,"na","An Tan",108.669722,15.421111
174,17.99,"na","Tri Binh",108.729444,15.348333
175,725.14,"na","Phuoc Thuan",108.743261,15.304445
177,10.67,"na","Dai Loc",108.765833,15.195
178,9187.6,"na","Tho Loc",108.77423,15.1473
179,1936.01,"na","Quang Ngai",108.781139,15.120778
181,181.17,"na","Phu Nhieu",108.80454,15.06625
182,138.89,"na","Hoa Vinh Tay",108.834167,15.022778
183,52.82,"na","Lam Dien",108.85527,14.9941
184,6.46,"na","Van Tay",108.86285,14.95786
186,196.8,"na","Mo Duc",108.907,14.88407
187,246.65,"na","Duc Pho",108.946389,14.809722
188,1385.17,"na","Thuy Thach",109.006667,14.7525
189,27.2,"na","Dien Thuong",109.035647,14.715143
190,2190.15,"na","Sa Huynh",109.064722,14.661667
191,227.92,"na","Chong Hoa",109.048578,14.586741
192,1054.36,"na","Tam Quan",109.043611,14.547778
193,196.04,"na","Tai Luong",109.03591,14.4967
194,10.23,"na","Hoi Duc",109.03295,14.48286
195,484.435,"na","Bong Son",109.019444,14.438333
196,0.18,"na","Binh Chuong",109.0313,14.3804
197,189.97,"na","Van Phu",109.064167,14.313889
198,1127.22,"na","Vinh Phuoc",109.07611,14.27399
199,11.8,"na","Trung Hoi",109.04415,14.22029
200,816.93,"na","Phu My",109.04119,14.18702
201,5.16,"na","Binh Tan",109.03888,14.15374
203,180.62,"na","Khanh Phuoc",109.037222,14.0875
204,11.37,"na","My Hoa",109.04646,14.05161
205,15.33,"na","Phu Cat",109.056667,13.994722
208,195.89,"na","Van Son",109.07446,13.91423
210,4905.78,"na","Binh Dinh",109.100833,13.887222
212,198.07,"na","Van My",109.13063,13.85971
214,4640.14,"na","Dieu Tri",109.143611,13.807222
215,35.24,"na","Tuy Phuoc",109.19257,13.79102
216,5599.32,"na","Qui Nhon",109.223333,13.778333
218,1.15,"na","Canh Van",109.10691,13.7673
219,225.68,"na","Tan Vinh",109.049444,13.7075
221,0.1,"na","Van Canh",108.996944,13.620556
222,524.75,"na","Muc Thinh",109.02035,13.55242
223,27.6,"na","Phuoc Lanh",109.030833,13.486111
225,103.11,"na","La Hai",109.105833,13.381667
226,915.11,"na","Ha Bang",109.14521,13.35343
227,187.55,"na","Phong Nien",109.17717,13.32147
228,738.94,"na","Chi Thanh",109.219444,13.304722
230,2235.73,"na","My Phu",109.25887,13.25394
231,821.36,"na","Hoa Da",109.270278,13.205278
233,2466.26,"na","Tuy Hoa",109.297278,13.088111
234,0.22,"na","Dong Tac",109.321944,13.055833
235,0,"na","Phu Hiep",109.361111,13.000278
236,5.62,"na","Thach Tuan",109.361,12.97456
237,38.47,"na","Hao Son",109.376667,12.908333
238,4673.25,"na","Dai Lanh",109.360556,12.833889
239,461.75,"na","Tu Bong",109.300833,12.777778
240,1079.55,"na","Gia",109.223611,12.7
241,98.14,"na","Hoa Huynh",109.168056,12.574444
242,912.7,"na","Ninh Hoa",109.122778,12.488889
243,12.05,"na","Phong Tanh",109.125833,12.433333
244,7.9,"na","Quang Duoi",109.18507,12.39276
245,268.01,"na","Luong Son",109.194444,12.337778
246,15098.43,"na","Nha Trang",109.184444,12.247778
247,1454.35,"na","Phu Vinh",109.154598,12.256366
248,1492.31,"na","Cay Cay",109.080278,12.216944
249,116.2,"na","Suoi Dau",109.07182,12.18817
250,246.97,"na","Hoa Tan",109.098611,12.121389
252,291.56,"na","Ba Ngoi",109.148668,11.917281
254,818.97,"na","Nga Ba",109.121111,11.925833
255,2367.28,"na","Krong Pha",108.71347,11.81696
256,156.4,"na","Trai Ca",109.0976,11.88434
257,1060.91,"na","Hiep My",109.1032,11.83294
259,0,"na","Tan My",108.79476,11.72974
262,1027.34,"na","Balap",108.99638,11.66748
264,9454.08,"na","Tourcham",108.95,11.597222
266,289.65,"na","Belle Vue",108.63407,11.84357
267,871.399,"na","Dran",108.58959,11.84027
268,529.24,"na","Arbre Broye",108.56225,11.86202
269,1583.91,"na","Entrerays",108.5527,11.88672
270,58.68,"na","Le Bosquet",108.53095,11.94174
271,8450.14,"na","Da Lat",108.455556,11.942222
272,931.16,"na","Hoa Trinh",108.911389,11.499167
273,1417.68,"na","Cana",108.876389,11.351944
274,1685.64,"na","Vinh Hao",108.741944,11.309444
275,835.89,"na","Song Long Song",108.673889,11.263611
277,1208.11,"na","Song Mao",108.506667,11.248889
278,850.51,"na","Chau Hanh",108.425,11.227778
279,832.24,"na","Song Luy",108.3225,11.214722
280,19.48,"na","Long Thanh",108.204722,11.128889
281,355.05,"na","Ma Lam",108.131667,11.0725
282,7974.13,"na","Muong Man",108.003056,10.968611
284,5811.69,"na","Phan Thiet",108.1062684,10.9235598
285,470.9,"na","Suoi Van",107.867222,10.920556
286,216.01,"na","Song Phan",107.751667,10.874444
287,392.37,"na","Song Dinh",107.672778,10.921389
288,773.6,"na","Suoi Kiet",107.630278,10.968333
289,209.34,"na","Gia Huynh",107.541389,10.985278
291,1443.53,"na","Gia Ray",107.403056,10.964167
292,567.06,"na","Bao Chanh",107.325833,10.9525
293,1675.36,"na","Xuan Loc",107.245833,10.933333
294,4480.85,"na","An Loc",107.18219,10.92655
295,2135.23,"na","Dau Giay",107.137778,10.930833
297,1069.43,"na","Trang Bom",106.993889,10.944722
299,53.74,"na","Ho Nai",106.906111,10.959389
300,28599.95,"na","Bien Hoa",106.826389,10.950556
301,60,"na","Cho Don",106.819508,10.928708
302,5381.73,"na","Dian",106.769167,10.907778
303,1927.84,"na","Thu Duc",106.753333,10.883056
304,2434.1,"na","Binh Trieu",106.7117,10.8531
305,2972.27,"na","Go Vap",106.67941,10.84058
306,64100.04,"0","Saïgon",106.667408,10.785243
307,22029.17,"5","Cho Lon",106.62312,10.75971
308,162.31,"8","Phu Lam",106.61653,10.72765
309,0.1,"12","An Lac",106.60994,10.69668
310,32.21,"16","Binh Dien",106.59171,10.67208
311,185.72,"21","Binh Chanh",106.55195,10.64836
312,21.27,"26","Go Den",106.50825,10.6398
313,906.66,"31","Ben Luc",106.46784,10.63452
314,59.79,"38","Binh Anh",106.42962,10.58621
315,625.3,"46","Tan An",106.39777,10.5313
316,2.49,"54","Tan Huong",106.36219,10.46497
317,367.72,"58","Tan Hiep",106.34155,10.43005
318,111.78,"61","Luong Phu",106.34319,10.39447
319,3.65,"66","Truong Luong",106.34429,10.38151
320,2404.44,"70","My Tho",106.37702,10.3624
321,0,"468","Le Son ",106.258056,17.778333
322,0.1,"na","Phu Nuan",106.673892,10.801047
334,0,"14","Tan Kien",106.60664,10.68131
